Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Number_of_vehicles_involved
18-30,male,junior high school,employee,5-10yr,bus,office areas,other,y shape,earth roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,lorry,industrial areas,other,y shape,earth roads,daylight,normal,collision with roadside-parked vehicles,going straight,crossing from driver's nearside,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,1-2yr,car,residential areas,undivided two way,y shape,asphalt roads,daylight,normal,collision with roadside-parked vehicles,u-turn,not a pedestrian,moving backward,Serious Injury,2
31-50,male,above high school,employee,no licence,car,office areas,undivided two way,no junction,earth roads,daylight,normal,collision with animals,going straight,not a pedestrian,no priority to pedestrian,Serious Injury,2
31-50,male,junior high school,employee,above 10yr,car,office areas,undivided two way,no junction,asphalt roads,daylight,normal,collision with animals,going straight,not a pedestrian,no distancing,Serious Injury,2
18-30,male,junior high school,employee,below 1yr,lorry,residential areas,one way,y shape,asphalt roads,daylight,normal,collision with animals,going straight,not a pedestrian,moving backward,Serious Injury,2
18-30,male,junior high school,employee,2-5yr,lorry,church areas,undivided two way,crossing,asphalt roads,daylight,normal,collision with animals,moving backward,not a pedestrian,overtaking,Serious Injury,1
18-30,male,elementary school,employee,5-10yr,lorry,recreational areas,other,y shape,asphalt roads,daylight,normal,other,getting off,not a pedestrian,overloading,Serious Injury,2
31-50,male,junior high school,employee,above 10yr,lorry,industrial areas,undivided two way,y shape,asphalt roads,daylight,normal,rollover,reversing,not a pedestrian,changing lane to the right,Serious Injury,2
18-30,male,junior high school,employee,2-5yr,car,residential areas,other,crossing,asphalt roads,daylight,normal,rollover,going straight,not a pedestrian,other,Slight Injury,2
18-30,unknown,junior high school,employee,5-10yr,other,office areas,double carriageway (median),crossing,asphalt roads,daylight,normal,collision with animals,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,changing lane to the left,Slight Injury,2
18-30,male,unknown,employee,1-2yr,lorry,industrial areas,other,no junction,asphalt roads,daylight,normal,fall from vehicles,going straight,not a pedestrian,overspeed,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,car,residential areas,undivided two way,no junction,asphalt roads,daylight,normal,collision with roadside-parked vehicles,moving backward,not a pedestrian,no priority to vehicle,Slight Injury,1
18-30,male,junior high school,employee,below 1yr,lorry,other,undivided two way,no junction,asphalt roads,daylight,normal,rollover,reversing,not a pedestrian,changing lane to the right,Slight Injury,2
over 51,male,junior high school,employee,below 1yr,car,rural village areas,undivided two way,o shape,asphalt roads,daylight,normal,collision with animals,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,2
18-30,male,high school,employee,5-10yr,car,rural village areas,undivided two way,o shape,asphalt roads,daylight,normal,fall from vehicles,going straight,unknown or other,no distancing,Slight Injury,2
over 51,male,junior high school,employee,below 1yr,other,residential areas,undivided two way,crossing,asphalt roads,darkness - lights lit,normal,collision with animals,going straight,not a pedestrian,other,Slight Injury,2
over 51,male,high school,employee,below 1yr,car,outside rural areas,other,no junction,asphalt roads,daylight,normal,collision with pedestrians,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,high school,employee,2-5yr,car,office areas,undivided two way,no junction,asphalt roads,darkness - lights lit,normal,collision with pedestrians,going straight,not a pedestrian,no priority to vehicle,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,lorry,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,no distancing,Slight Injury,2
